,multi_output/samples/S1.bam_0_depth.txt_cov,multi_output/samples/S2.bam_1_depth.txt_cov,multi_output/samples/S3.bam_2_depth.txt_cov,multi_output/samples/S4.bam_3_depth.txt_cov,multi_output/samples/S5.bam_4_depth.txt_cov
k115_8675,0.000141296013289036,0.000141296013289036,0.000141296013289036,0.000141296013289036,0.000141296013289036
k115_2895,0.00016996706056129898,0.00016996706056129898,0.00016996706056129898,0.00016996706056129898,0.00016996706056129898
k115_414,0.000288170138816407,0.000288170138816407,0.000288170138816407,0.000288170138816407,0.000288170138816407
k115_1250,7.9968451961475e-05,7.9968451961475e-05,7.9968451961475e-05,7.9968451961475e-05,7.9968451961475e-05
k115_4957,4.3075905312103e-05,4.3075905312103e-05,4.3075905312103e-05,4.3075905312103e-05,4.3075905312103e-05
k115_1663,6.1049063996517e-05,6.1049063996517e-05,6.1049063996517e-05,6.1049063996517e-05,6.1049063996517e-05
k115_829,0.000138067787778304,0.000138067787778304,0.000138067787778304,0.000138067787778304,0.000138067787778304
k115_430,0.000164303612479474,0.000164303612479474,0.000164303612479474,0.000164303612479474,0.000164303612479474
k115_4974,0.000269392604501607,0.000269392604501607,0.000269392604501607,0.000269392604501607,0.000269392604501607
k115_9510,9.288565471226e-05,9.288565471226e-05,9.288565471226e-05,9.288565471226e-05,9.288565471226e-05
k115_4148,0.000116040063733134,0.000116040063733134,0.000116040063733134,0.000116040063733134,0.000116040063733134
k115_4580,0.00020023342228152102,0.00020023342228152102,0.00020023342228152102,0.00020023342228152102,0.00020023342228152102
k115_9518,0.0046633124352331605,0.0046633124352331605,0.0046633124352331605,0.0046633124352331605,0.0046633124352331605
k115_6623,0.0009399099260823649,0.0009399099260823649,0.0009399099260823649,0.0009399099260823649,0.0009399099260823649
k115_438,0.0026206903527717777,0.0026206903527717777,0.0026206903527717777,0.0026206903527717777,0.0026206903527717777
k115_5431,0.000255648083389374,0.000255648083389374,0.000255648083389374,0.000255648083389374,0.000255648083389374
k115_5432,0.00035023466717968405,0.00035023466717968405,0.00035023466717968405,0.00035023466717968405,0.00035023466717968405
k115_2939,5.9746035005377e-05,5.9746035005377e-05,5.9746035005377e-05,5.9746035005377e-05,5.9746035005377e-05
k115_4157,0.00028154097780636804,0.00028154097780636804,0.00028154097780636804,0.00028154097780636804,0.00028154097780636804
k115_6202,5.2267314806032e-05,5.2267314806032e-05,5.2267314806032e-05,5.2267314806032e-05,5.2267314806032e-05
k115_459,0.00017548461538461499,0.00017548461538461499,0.00017548461538461499,0.00017548461538461499,0.00017548461538461499
k115_2513,3.0017371070377e-05,3.0017371070377e-05,3.0017371070377e-05,3.0017371070377e-05,3.0017371070377e-05
k115_4987,5.2782656314986e-05,5.2782656314986e-05,5.2782656314986e-05,5.2782656314986e-05,5.2782656314986e-05
k115_5461,5.4697452118901e-05,5.4697452118901e-05,5.4697452118901e-05,5.4697452118901e-05,5.4697452118901e-05
k115_8345,0.001847825162488393,0.001847825162488393,0.001847825162488393,0.001847825162488393,0.001847825162488393
k115_2127,0.000110448209906817,0.000110448209906817,0.000110448209906817,0.000110448209906817,0.000110448209906817
k115_141,0.000191349672517684,0.000191349672517684,0.000191349672517684,0.000191349672517684,0.000191349672517684
k115_5821,0.000127050370000651,0.000127050370000651,0.000127050370000651,0.000127050370000651,0.000127050370000651
k115_6233,0.0018735177215189868,0.0018735177215189868,0.0018735177215189868,0.0018735177215189868,0.0018735177215189868
k115_469,0.000224168479355488,0.000224168479355488,0.000224168479355488,0.000224168479355488,0.000224168479355488
k115_8349,0.00016623290632506002,0.00016623290632506002,0.00016623290632506002,0.00016623290632506002,0.00016623290632506002
k115_1325,0.00010721343037627,0.00010721343037627,0.00010721343037627,0.00010721343037627,0.00010721343037627
k115_6240,6.228607988519399e-05,6.228607988519399e-05,6.228607988519399e-05,6.228607988519399e-05,6.228607988519399e-05
k115_474,6.0574669100867e-05,6.0574669100867e-05,6.0574669100867e-05,6.0574669100867e-05,6.0574669100867e-05
k115_5014,0.0006059101086443079,0.0006059101086443079,0.0006059101086443079,0.0006059101086443079,0.0006059101086443079
k115_4187,1.9221161978304e-05,1.9221161978304e-05,1.9221161978304e-05,1.9221161978304e-05,1.9221161978304e-05
k115_7058,7.4360708128895e-05,7.4360708128895e-05,7.4360708128895e-05,7.4360708128895e-05,7.4360708128895e-05
k115_3754,0.000118095849392232,0.000118095849392232,0.000118095849392232,0.000118095849392232,0.000118095849392232
k115_1723,0.000136212902070348,0.000136212902070348,0.000136212902070348,0.000136212902070348,0.000136212902070348
k115_9212,0.000208129197080291,0.000208129197080291,0.000208129197080291,0.000208129197080291,0.000208129197080291
k115_888,1.5154452274182999e-05,1.5154452274182999e-05,1.5154452274182999e-05,1.5154452274182999e-05,1.5154452274182999e-05
k115_4654,7.0726003210272e-05,7.0726003210272e-05,7.0726003210272e-05,7.0726003210272e-05,7.0726003210272e-05
k115_2561,6.2872096790523e-05,6.2872096790523e-05,6.2872096790523e-05,6.2872096790523e-05,6.2872096790523e-05
k115_7564,0.000121991760117016,0.000121991760117016,0.000121991760117016,0.000121991760117016,0.000121991760117016
k115_6263,0.000175568629632799,0.000175568629632799,0.000175568629632799,0.000175568629632799,0.000175568629632799
k115_5496,0.002652979367318903,0.002652979367318903,0.002652979367318903,0.002652979367318903,0.002652979367318903
k115_7065,0.0008665341172499149,0.0008665341172499149,0.0008665341172499149,0.0008665341172499149,0.0008665341172499149
k115_3035,0.000260909883321894,0.000260909883321894,0.000260909883321894,0.000260909883321894,0.000260909883321894
k115_8749,0.000109058299361074,0.000109058299361074,0.000109058299361074,0.000109058299361074,0.000109058299361074
k115_5035,8.2846478873239e-05,8.2846478873239e-05,8.2846478873239e-05,8.2846478873239e-05,8.2846478873239e-05
k115_6271,8.722487899322299e-05,8.722487899322299e-05,8.722487899322299e-05,8.722487899322299e-05,8.722487899322299e-05
k115_223,7.3911213626685e-05,7.3911213626685e-05,7.3911213626685e-05,7.3911213626685e-05,7.3911213626685e-05
k115_7927,2.3423092103787e-05,2.3423092103787e-05,2.3423092103787e-05,2.3423092103787e-05,2.3423092103787e-05
k115_4676,9.394323298074299e-05,9.394323298074299e-05,9.394323298074299e-05,9.394323298074299e-05,9.394323298074299e-05
k115_3047,0.012030217122141662,0.012030217122141662,0.012030217122141662,0.012030217122141662,0.012030217122141662
k115_7608,0.003196789002759164,0.003196789002759164,0.003196789002759164,0.003196789002759164,0.003196789002759164
k115_9274,0.000131952879944483,0.000131952879944483,0.000131952879944483,0.000131952879944483,0.000131952879944483
k115_8440,0.003063134188034188,0.003063134188034188,0.003063134188034188,0.003063134188034188,0.003063134188034188
k115_3786,2.9397716501507e-05,2.9397716501507e-05,2.9397716501507e-05,2.9397716501507e-05,2.9397716501507e-05
k115_919,5.1091952832443e-05,5.1091952832443e-05,5.1091952832443e-05,5.1091952832443e-05,5.1091952832443e-05
k115_9277,0.00028227054263565797,0.00028227054263565797,0.00028227054263565797,0.00028227054263565797,0.00028227054263565797
k115_4700,0.00012332528797214,0.00012332528797214,0.00012332528797214,0.00012332528797214,0.00012332528797214
k115_5073,0.000128768171557562,0.000128768171557562,0.000128768171557562,0.000128768171557562,0.000128768171557562
k115_930,0.002729996907216495,0.002729996907216495,0.002729996907216495,0.002729996907216495,0.002729996907216495
k115_4257,8.049492242595199e-05,8.049492242595199e-05,8.049492242595199e-05,8.049492242595199e-05,8.049492242595199e-05
k115_9656,0.009812540471829436,0.009812540471829436,0.009812540471829436,0.009812540471829436,0.009812540471829436
k115_6692,0.000260853628256688,0.000260853628256688,0.000260853628256688,0.000260853628256688,0.000260853628256688
k115_268,0.001409791629955947,0.001409791629955947,0.001409791629955947,0.001409791629955947,0.001409791629955947
k115_4716,0.00043360044234738997,0.00043360044234738997,0.00043360044234738997,0.00043360044234738997,0.00043360044234738997
k115_9284,9.592155199497301e-05,9.592155199497301e-05,9.592155199497301e-05,9.592155199497301e-05,9.592155199497301e-05
k115_5508,7.6371779441606e-05,7.6371779441606e-05,7.6371779441606e-05,7.6371779441606e-05,7.6371779441606e-05
k115_8807,0.000365181940613337,0.000365181940613337,0.000365181940613337,0.000365181940613337,0.000365181940613337
k115_2232,2.2099671646691002e-05,2.2099671646691002e-05,2.2099671646691002e-05,2.2099671646691002e-05,2.2099671646691002e-05
k115_7134,0.000108288375053033,0.000108288375053033,0.000108288375053033,0.000108288375053033,0.000108288375053033
k115_8475,0.00015234358974358902,0.00015234358974358902,0.00015234358974358902,0.00015234358974358902,0.00015234358974358902
k115_3829,0.000148421623731459,0.000148421623731459,0.000148421623731459,0.000148421623731459,0.000148421623731459
k115_583,0.000501976938142647,0.000501976938142647,0.000501976938142647,0.000501976938142647,0.000501976938142647
k115_4743,0.000212574922487689,0.000212574922487689,0.000212574922487689,0.000212574922487689,0.000212574922487689
k115_1366,5.8156373580143e-05,5.8156373580143e-05,5.8156373580143e-05,5.8156373580143e-05,5.8156373580143e-05
k115_9298,0.00012475913517724898,0.00012475913517724898,0.00012475913517724898,0.00012475913517724898,0.00012475913517724898
k115_6719,0.000275395822265153,0.000275395822265153,0.000275395822265153,0.000275395822265153,0.000275395822265153
k115_6731,0.002606522703510082,0.002606522703510082,0.002606522703510082,0.002606522703510082,0.002606522703510082
k115_3479,0.000130594376537298,0.000130594376537298,0.000130594376537298,0.000130594376537298,0.000130594376537298
k115_9691,6.9657152793878e-05,6.9657152793878e-05,6.9657152793878e-05,6.9657152793878e-05,6.9657152793878e-05
k115_1747,0.00011779026592992001,0.00011779026592992001,0.00011779026592992001,0.00011779026592992001,0.00011779026592992001
k115_7953,5.3443814925037e-05,5.3443814925037e-05,5.3443814925037e-05,5.3443814925037e-05,5.3443814925037e-05
k115_6343,0.000125683394743306,0.000125683394743306,0.000125683394743306,0.000125683394743306,0.000125683394743306
k115_4771,0.000178459878899565,0.000178459878899565,0.000178459878899565,0.000178459878899565,0.000178459878899565
k115_6356,8.8512340105342e-05,8.8512340105342e-05,8.8512340105342e-05,8.8512340105342e-05,8.8512340105342e-05
k115_3114,0.000412673673870334,0.000412673673870334,0.000412673673870334,0.000412673673870334,0.000412673673870334
k115_960,3.3526510545966e-05,3.3526510545966e-05,3.3526510545966e-05,3.3526510545966e-05,3.3526510545966e-05
k115_363,0.006131905157593123,0.006131905157593123,0.006131905157593123,0.006131905157593123,0.006131905157593123
k115_9349,0.000248787482730035,0.000248787482730035,0.000248787482730035,0.000248787482730035,0.000248787482730035
k115_6359,0.000115376939122797,0.000115376939122797,0.000115376939122797,0.000115376939122797,0.000115376939122797
k115_3120,7.8818216649251e-05,7.8818216649251e-05,7.8818216649251e-05,7.8818216649251e-05,7.8818216649251e-05
k115_2566,3.9856162205141e-05,3.9856162205141e-05,3.9856162205141e-05,3.9856162205141e-05,3.9856162205141e-05
k115_6753,8.7283084477402e-05,8.7283084477402e-05,8.7283084477402e-05,8.7283084477402e-05,8.7283084477402e-05
k115_8534,0.000125133611185802,0.000125133611185802,0.000125133611185802,0.000125133611185802,0.000125133611185802
k115_9358,0.000112656794712928,0.000112656794712928,0.000112656794712928,0.000112656794712928,0.000112656794712928
k115_4807,2.9669177089800997e-05,2.9669177089800997e-05,2.9669177089800997e-05,2.9669177089800997e-05,2.9669177089800997e-05
k115_9693,0.000126454370961,0.000126454370961,0.000126454370961,0.000126454370961,0.000126454370961
k115_1399,7.6283967194661e-05,7.6283967194661e-05,7.6283967194661e-05,7.6283967194661e-05,7.6283967194661e-05
k115_3924,0.000267643859649122,0.000267643859649122,0.000267643859649122,0.000267643859649122,0.000267643859649122
k115_8040,0.0003955802259887,0.0003955802259887,0.0003955802259887,0.0003955802259887,0.0003955802259887
k115_1807,3.8456568562366003e-05,3.8456568562366003e-05,3.8456568562366003e-05,3.8456568562366003e-05,3.8456568562366003e-05
k115_1407,0.000221488367729831,0.000221488367729831,0.000221488367729831,0.000221488367729831,0.000221488367729831
k115_2360,0.00019585130686241702,0.00019585130686241702,0.00019585130686241702,0.00019585130686241702,0.00019585130686241702
k115_4399,0.005531639479488311,0.005531639479488311,0.005531639479488311,0.005531639479488311,0.005531639479488311
k115_3571,9.230598469032699e-05,9.230598469032699e-05,9.230598469032699e-05,9.230598469032699e-05,9.230598469032699e-05
k115_682,0.00013306494560524898,0.00013306494560524898,0.00013306494560524898,0.00013306494560524898,0.00013306494560524898
k115_1812,6.8386626463284e-05,6.8386626463284e-05,6.8386626463284e-05,6.8386626463284e-05,6.8386626463284e-05
k115_7287,2.8875178280995e-05,2.8875178280995e-05,2.8875178280995e-05,2.8875178280995e-05,2.8875178280995e-05
k115_8929,0.000130826114184513,0.000130826114184513,0.000130826114184513,0.000130826114184513,0.000130826114184513
k115_2569,9.33821196206e-05,9.33821196206e-05,9.33821196206e-05,9.33821196206e-05,9.33821196206e-05
k115_1076,0.00010910745840504801,0.00010910745840504801,0.00010910745840504801,0.00010910745840504801,0.00010910745840504801
k115_5203,0.000239557512184784,0.000239557512184784,0.000239557512184784,0.000239557512184784,0.000239557512184784
k115_1821,0.00028703682355902296,0.00028703682355902296,0.00028703682355902296,0.00028703682355902296,0.00028703682355902296
k115_724,0.000142333488241092,0.000142333488241092,0.000142333488241092,0.000142333488241092,0.000142333488241092
k115_6076,2.9790922365539003e-05,2.9790922365539003e-05,2.9790922365539003e-05,2.9790922365539003e-05,2.9790922365539003e-05
k115_7686,8.4277460911304e-05,8.4277460911304e-05,8.4277460911304e-05,8.4277460911304e-05,8.4277460911304e-05
k115_1105,0.000838185792214232,0.000838185792214232,0.000838185792214232,0.000838185792214232,0.000838185792214232
k115_6420,6.1129470810246e-05,6.1129470810246e-05,6.1129470810246e-05,6.1129470810246e-05,6.1129470810246e-05
k115_6776,0.00011060708493004101,0.00011060708493004101,0.00011060708493004101,0.00011060708493004101,0.00011060708493004101
k115_7690,0.000116627942925089,0.000116627942925089,0.000116627942925089,0.000116627942925089,0.000116627942925089
k115_769,0.000372069445366987,0.000372069445366987,0.000372069445366987,0.000372069445366987,0.000372069445366987
k115_2371,9.1072997560269e-05,9.1072997560269e-05,9.1072997560269e-05,9.1072997560269e-05,9.1072997560269e-05
k115_5675,5.2073151557888e-05,5.2073151557888e-05,5.2073151557888e-05,5.2073151557888e-05,5.2073151557888e-05
k115_4035,5.5034464148033e-05,5.5034464148033e-05,5.5034464148033e-05,5.5034464148033e-05,5.5034464148033e-05
k115_3177,3.9495929087327005e-05,3.9495929087327005e-05,3.9495929087327005e-05,3.9495929087327005e-05,3.9495929087327005e-05
k115_1113,0.000289688600321765,0.000289688600321765,0.000289688600321765,0.000289688600321765,0.000289688600321765
k115_9359,9.4281068653876e-05,9.4281068653876e-05,9.4281068653876e-05,9.4281068653876e-05,9.4281068653876e-05
k115_4916,0.000334073128598848,0.000334073128598848,0.000334073128598848,0.000334073128598848,0.000334073128598848
k115_797,0.000110439190845933,0.000110439190845933,0.000110439190845933,0.000110439190845933,0.000110439190845933
k115_5215,5.8579532163742e-05,5.8579532163742e-05,5.8579532163742e-05,5.8579532163742e-05,5.8579532163742e-05
k115_8535,9.395059762893501e-05,9.395059762893501e-05,9.395059762893501e-05,9.395059762893501e-05,9.395059762893501e-05
k115_5702,0.00010351327242735599,0.00010351327242735599,0.00010351327242735599,0.00010351327242735599,0.00010351327242735599
k115_4418,0.00013815287597129499,0.00013815287597129499,0.00013815287597129499,0.00013815287597129499,0.00013815287597129499
k115_6443,7.609211933577201e-05,7.609211933577201e-05,7.609211933577201e-05,7.609211933577201e-05,7.609211933577201e-05
k115_2389,3.75912403644e-05,3.75912403644e-05,3.75912403644e-05,3.75912403644e-05,3.75912403644e-05
k115_9775,0.001723290196424519,0.001723290196424519,0.001723290196424519,0.001723290196424519,0.001723290196424519
k115_2637,0.000147071834190289,0.000147071834190289,0.000147071834190289,0.000147071834190289,0.000147071834190289
k115_1132,0.000361215194277034,0.000361215194277034,0.000361215194277034,0.000361215194277034,0.000361215194277034
k115_7738,0.000131968131868131,0.000131968131868131,0.000131968131868131,0.000131968131868131,0.000131968131868131
k115_1541,6.4537194127243e-05,6.4537194127243e-05,6.4537194127243e-05,6.4537194127243e-05,6.4537194127243e-05
k115_7382,0.000295078951863827,0.000295078951863827,0.000295078951863827,0.000295078951863827,0.000295078951863827
k115_3648,6.8438765020889e-05,6.8438765020889e-05,6.8438765020889e-05,6.8438765020889e-05,6.8438765020889e-05
k115_2432,9.8340600160757e-05,9.8340600160757e-05,9.8340600160757e-05,9.8340600160757e-05,9.8340600160757e-05
k115_6161,9.392482320841901e-05,9.392482320841901e-05,9.392482320841901e-05,9.392482320841901e-05,9.392482320841901e-05
k115_8144,0.000558446581875993,0.000558446581875993,0.000558446581875993,0.000558446581875993,0.000558446581875993
k115_8943,0.000378721986788664,0.000378721986788664,0.000378721986788664,0.000378721986788664,0.000378721986788664
k115_4083,9.869236294313599e-05,9.869236294313599e-05,9.869236294313599e-05,9.869236294313599e-05,9.869236294313599e-05
k115_2657,3.3243598241948e-05,3.3243598241948e-05,3.3243598241948e-05,3.3243598241948e-05,3.3243598241948e-05
k115_1191,0.000285657386051619,0.000285657386051619,0.000285657386051619,0.000285657386051619,0.000285657386051619
k115_6474,2.3146179876892002e-05,2.3146179876892002e-05,2.3146179876892002e-05,2.3146179876892002e-05,2.3146179876892002e-05
k115_2437,0.000351745749467203,0.000351745749467203,0.000351745749467203,0.000351745749467203,0.000351745749467203
k115_7434,0.00011607004107272201,0.00011607004107272201,0.00011607004107272201,0.00011607004107272201,0.00011607004107272201
k115_6178,0.000370810784313725,0.000370810784313725,0.000370810784313725,0.000370810784313725,0.000370810784313725
k115_4464,0.000146165651013035,0.000146165651013035,0.000146165651013035,0.000146165651013035,0.000146165651013035
k115_3216,7.321216139739e-05,7.321216139739e-05,7.321216139739e-05,7.321216139739e-05,7.321216139739e-05
k115_8949,8.5521220783588e-05,8.5521220783588e-05,8.5521220783588e-05,8.5521220783588e-05,8.5521220783588e-05
k115_9380,9.1152994737055e-05,9.1152994737055e-05,9.1152994737055e-05,9.1152994737055e-05,9.1152994737055e-05
k115_6844,1.3989676285503e-05,1.3989676285503e-05,1.3989676285503e-05,1.3989676285503e-05,1.3989676285503e-05
k115_5748,0.0001986002205558,0.0001986002205558,0.0001986002205558,0.0001986002205558,0.0001986002205558
k115_8633,7.8792493946731e-05,7.8792493946731e-05,7.8792493946731e-05,7.8792493946731e-05,7.8792493946731e-05
k115_3220,0.000129873822766036,0.000129873822766036,0.000129873822766036,0.000129873822766036,0.000129873822766036
k115_2441,1.8851875187518e-05,1.8851875187518e-05,1.8851875187518e-05,1.8851875187518e-05,1.8851875187518e-05
k115_7765,3.6478721638957e-05,3.6478721638957e-05,3.6478721638957e-05,3.6478721638957e-05,3.6478721638957e-05
k115_9397,5.4026525109538e-05,5.4026525109538e-05,5.4026525109538e-05,5.4026525109538e-05,5.4026525109538e-05
k115_3684,0.00021243995468675899,0.00021243995468675899,0.00021243995468675899,0.00021243995468675899,0.00021243995468675899
k115_2677,4.7769788570467005e-05,4.7769788570467005e-05,4.7769788570467005e-05,4.7769788570467005e-05,4.7769788570467005e-05
k115_4090,6.6809082846511e-05,6.6809082846511e-05,6.6809082846511e-05,6.6809082846511e-05,6.6809082846511e-05
k115_6515,0.00030105184770436703,0.00030105184770436703,0.00030105184770436703,0.00030105184770436703,0.00030105184770436703
k115_7788,0.000123203127903375,0.000123203127903375,0.000123203127903375,0.000123203127903375,0.000123203127903375
k115_9858,0.000182071744471744,0.000182071744471744,0.000182071744471744,0.000182071744471744,0.000182071744471744
k115_6518,0.000209864247261926,0.000209864247261926,0.000209864247261926,0.000209864247261926,0.000209864247261926
k115_1226,8.171551242491099e-05,8.171551242491099e-05,8.171551242491099e-05,8.171551242491099e-05,8.171551242491099e-05
k115_3282,0.041296451231088695,0.041296451231088695,0.041296451231088695,0.041296451231088695,0.041296451231088695
k115_9004,0.000199430120088228,0.000199430120088228,0.000199430120088228,0.000199430120088228,0.000199430120088228
k115_2026,0.000118821243473907,0.000118821243473907,0.000118821243473907,0.000118821243473907,0.000118821243473907
k115_9859,8.193582215472801e-05,8.193582215472801e-05,8.193582215472801e-05,8.193582215472801e-05,8.193582215472801e-05
k115_3286,0.000142472881355932,0.000142472881355932,0.000142472881355932,0.000142472881355932,0.000142472881355932
k115_6924,0.000151053389830508,0.000151053389830508,0.000151053389830508,0.000151053389830508,0.000151053389830508
k115_1238,0.000101374871917073,0.000101374871917073,0.000101374871917073,0.000101374871917073,0.000101374871917073
k115_9433,0.000134349640402748,0.000134349640402748,0.000134349640402748,0.000134349640402748,0.000134349640402748
k115_2047,6.617236497115801e-05,6.617236497115801e-05,6.617236497115801e-05,6.617236497115801e-05,6.617236497115801e-05
k115_6549,4.7493364928909e-05,4.7493364928909e-05,4.7493364928909e-05,4.7493364928909e-05,4.7493364928909e-05
k115_8235,3.6618783671403e-05,3.6618783671403e-05,3.6618783671403e-05,3.6618783671403e-05,3.6618783671403e-05
k115_9451,5.2697507687327996e-05,5.2697507687327996e-05,5.2697507687327996e-05,5.2697507687327996e-05,5.2697507687327996e-05
k115_6954,0.000142648250180187,0.000142648250180187,0.000142648250180187,0.000142648250180187,0.000142648250180187
k115_8247,0.00022961628825271402,0.00022961628825271402,0.00022961628825271402,0.00022961628825271402,0.00022961628825271402
k115_1628,0.000118204527779608,0.000118204527779608,0.000118204527779608,0.000118204527779608,0.000118204527779608
k115_6963,0.00010826965556504401,0.00010826965556504401,0.00010826965556504401,0.00010826965556504401,0.00010826965556504401
k115_9864,9.123519275182e-05,9.123519275182e-05,9.123519275182e-05,9.123519275182e-05,9.123519275182e-05
k115_3688,8.9614445950089e-05,8.9614445950089e-05,8.9614445950089e-05,8.9614445950089e-05,8.9614445950089e-05
k115_9047,5.010235860182e-05,5.010235860182e-05,5.010235860182e-05,5.010235860182e-05,5.010235860182e-05
k115_9463,0.000732303910721831,0.000732303910721831,0.000732303910721831,0.000732303910721831,0.000732303910721831
k115_3693,0.00014683805274638099,0.00014683805274638099,0.00014683805274638099,0.00014683805274638099,0.00014683805274638099
k115_9052,0.000605124646207664,0.000605124646207664,0.000605124646207664,0.000605124646207664,0.000605124646207664
k115_6971,0.0005768441860465111,0.0005768441860465111,0.0005768441860465111,0.0005768441860465111,0.0005768441860465111
k115_9481,0.000363736363636363,0.000363736363636363,0.000363736363636363,0.000363736363636363,0.000363736363636363
k115_9876,0.00010228608624126,0.00010228608624126,0.00010228608624126,0.00010228608624126,0.00010228608624126
k115_9878,0.00031497363623808795,0.00031497363623808795,0.00031497363623808795,0.00031497363623808795,0.00031497363623808795
k115_7000,0.01866635879473845,0.01866635879473845,0.01866635879473845,0.01866635879473845,0.01866635879473845
k115_2821,0.00015810415800415802,0.00015810415800415802,0.00015810415800415802,0.00015810415800415802,0.00015810415800415802
k115_9891,6.1152942043946e-05,6.1152942043946e-05,6.1152942043946e-05,6.1152942043946e-05,6.1152942043946e-05
k115_2837,6.2541784248111e-05,6.2541784248111e-05,6.2541784248111e-05,6.2541784248111e-05,6.2541784248111e-05
k115_2853,0.000113652209331029,0.000113652209331029,0.000113652209331029,0.000113652209331029,0.000113652209331029
k115_1656,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_6198,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_828,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_1658,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_2074,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
k115_9501,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07
